x0000,y0000
0.,0.7042465108
0.0000390816,0.7553517882
0.0000781632,0.6734523051
0.0001172447,0.6162318662
0.0001563263,0.5068141567
0.0001954079,0.7328567302
0.0002344895,0.7385350944
0.0002735711,0.7090512804
0.0003126527,0.6588195974
0.0003517342,0.6854642293
0.0003908158,0.6352325463
0.0004298974,0.738753493
0.000468979,0.7372247026
0.0005080606,1.0189589247
0.0005471422,0.8874829544
0.0005862237,0.7913875608
0.0006253053,0.7723868807
0.0006643869,0.9211163421
0.0007034685,1.0102229798
0.0007425501,0.8195609830
0.0007816317,0.6957289645
0.0008207132,0.7433398640
0.0008597948,0.8012154988
0.0008988764,0.7612485510
0.000937958,0.7317647371
0.0009770396,0.9608648913
0.0010161212,1.0115333715
0.0010552027,0.8767814219
0.0010942843,0.9903487052
0.0011333659,1.1561132591
0.0011724475,1.2655309686
0.0012115291,1.0639490408
0.0012506106,0.9711296265
0.0012896922,0.7385350944
0.0013287738,0.8243657527
0.0013678554,0.8542863639
0.001406937,0.9259211118
0.0014460186,0.9381514346
0.0014851001,0.9816127604
0.0015241817,1.0672250201
0.0015632633,0.8029626878
0.0016023449,0.7000969369
0.0016414265,0.9224267339
0.0016805081,1.007820595
0.0017195896,0.8625855115
0.0017586712,0.7492366268
0.0017977528,0.9014604662
0.0018368344,0.847297608
0.001875916,0.8769998206
0.0019149976,0.9381514346
0.0019540791,0.7896403719
0.0019931607,0.7671453138
0.0020322423,0.8774366178
0.0020713239,0.7009705314
0.0021104055,0.5703681556
0.0021494871,0.806893863
0.0021885686,0.7946635402
0.0022276502,0.8769998206
0.0022667318,0.847297608
0.0023058134,0.7094880777
0.002344895,0.7743524683
0.0023839766,0.9929694887
0.0024230581,0.8933797172
0.0024621397,0.5212284657
0.0025012213,0.7332935274
0.0025403029,0.9623936817
0.0025793845,0.9536577368
0.0026184660,1.0145909523
0.0026575476,1.0231084985
0.0026966292,0.4830087069
0.0027357108,0.5310564037
0.0027747924,0.6313013711
0.002813874,0.6684291368
0.0028529555,0.9222083353
0.0028920371,0.9554049258
0.0029311187,1.0093493853
0.0029702003,0.6754178927
0.0030092819,0.4923998477
0.0030483635,0.5509306783
0.0030874450,0.7245575826
0.0031265266,0.6251862097
0.0031656082,0.5856560592
0.0032046898,0.7346039192
0.0032437714,0.7717316849
0.003282853,0.6898322017
0.0033219345,0.9366226443
0.0033610161,0.6725787106
0.0034000977,0.6153582717
0.0034391793,0.7750076642
0.0034782609,0.6686475354
0.0035173425,0.7477078365
0.0035564240,0.9069204317
0.0035955056,0.9051732428
0.0036345872,0.8160666051
0.0036736688,0.8282969279
0.0037127504,0.9281050980
0.0037518319,0.8774366178
0.0037909135,0.7394086889
0.0038299951,0.6749810954
0.0038690767,1.0545579000
0.0039081583,1.1434461391
0.0039472399,0.8929429199
0.0039863214,0.9925326915
0.0040254030,1.2039425573
0.0040644846,1.100203212
0.0041035662,0.8289521238
0.0041426478,0.7992499112
0.0041817294,0.7592829634
0.0042208109,0.698349748
0.0042598925,1.0010502377
0.0042989741,0.8033994850
0.0043380557,0.9661064582
0.0043771373,0.740500682
0.0044162189,0.553988259
0.0044553004,0.4760199510
0.0044943820,0.5692761625
0.0045334636,0.5332403899
0.0045725452,0.8573439446
0.0046116268,1.166596393
0.0046507084,1.1502164964
0.0046897899,0.6518308415
0.0047288715,0.5806328909
0.0047679531,0.5725521418
0.0048070347,0.9348754553
0.0048461163,0.9259211118
0.0048851979,0.847297608
0.0049242794,0.6605667864
0.0049633610,0.7046833080
0.0050024426,0.6856826279
0.0050415242,0.8276417320
0.0050806058,0.672360312
0.0051196873,0.7479262351
0.0051587689,0.8582175391
0.0051978505,0.7935715470
0.0052369321,0.6662451506
0.0052760137,0.9444849947
0.0053150953,0.7190976170
0.0053541768,0.7035913149
0.0053932584,0.8106066395
0.0054323400,0.6133926841
0.0054714216,0.6540148278
0.0055105032,0.8134458216
0.0055495848,0.4939286380
0.0055886663,0.4336506184
0.0056277479,0.5480914962
0.0056668295,0.5295276134
0.0057059111,0.5389187541
0.0057449927,0.3910628872
0.0057840743,0.5686209667
0.0058231558,0.4764567483
0.0058622374,0.5000437994
0.0059013190,0.3209569296
0.0059404006,0.2399310409
0.0059794822,0.4107187631
0.0060185638,0.3539351215
0.0060576453,0.3253249020
0.0060967269,0.4819167138
0.0061358085,0.2643916866
0.0061748901,0.1763770420
0.0062139717,0.1202485962
0.0062530532,0.2316318933
0.0062921348,0.2940938991
0.0063312164,0.0176012440
0.006370298,0.178124231
0.0064093796,0.3106921944
0.0064484612,0.1353181011
0.0064875427,0.1770322379
0.0065266243,0.2115392201
0.0065657059,0.2180911788
0.0066047875,0.3853845230
0.0066438691,0.1680778944
0.0066829507,0.0628097587
0.0067220322,0.1047422941
0.0067611138,0.0590969821
0.0068001954,0.2545637486
0.006839277,0.2052056601
0.0068783586,0.1174094141
0.0069174402,0.1346629053
0.0069565217,0.2812083804
0.0069956033,0.1757218461
0.0070346849,0.1650203137
0.0070737665,0.1610891385
0.0071128481,0.0665225353
0.0071519297,-0.0140665562
0.0071910112,-0.0769653592
0.0072300928,0.1049606927
0.0072691744,0.0697985146
0.007308256,0.069580116
0.0073473376,0.0835576278
0.0073864191,0.1322605204
0.0074255007,0.0446826731
0.0074645823,-0.0743445758
0.0075036639,-0.0356880197
0.0075427455,-0.0636430433
0.0075818271,-0.0529415108
0.0076209086,-0.2206716523
0.0076599902,-0.3180774376
0.0076990718,-0.1986133915
0.0077381534,-0.0933452558
0.007777235,-0.2960191768
0.0078163166,0.0261187902
0.0078553981,-0.1416113512
0.0078944797,-0.1623592203
0.0079335613,-0.4137360339
0.0079726429,-0.5037162661
0.0080117245,-0.3279053756
0.0080508061,-0.3132726679
0.0080898876,-0.3268133825
0.0081289692,-0.2842256512
0.0081680508,-0.2206716523
0.0082071324,-0.2691561463
0.008246214,-0.4434382465
0.0082852956,-0.4844971874
0.0083243771,-0.5604999077
0.0083634587,-0.5454304028
0.0084025403,-0.4325183154
0.0084416219,-0.5993748624
0.0084807035,-0.6262378929
0.0085197851,-0.6703544145
0.0085588666,-0.7529090935
0.0085979482,-0.7339084134
0.0086370298,-0.5439016125
0.0086761114,-0.5463039973
0.008715193,-0.5836501617
0.0087542745,-0.6000300583
0.0087933561,-0.8540276554
0.0088324377,-0.7404603721
0.0088715193,-0.721459692
0.0089106009,-0.7725649695
0.0089496825,-0.5998116597
0.0089887640,-0.6022140445
0.0090278456,-0.7581506604
0.0090669272,-0.7463571349
0.0091060088,-0.6889182973
0.0091450904,-0.4430014493
0.009184172,-0.8369925629
0.0092232535,-0.8107847283
0.0092623351,-0.6345370405
0.0093014167,-0.5321080869
0.0093404983,-0.3632859523
0.0093795799,-0.4919227405
0.0094186615,-0.7249540699
0.0094577430,-0.8948681976
0.0094968246,-0.8616716071
0.0095359062,-0.5209697572
0.0095749878,-0.862326803
0.0096140694,-1.0075618865
0.009653151,-0.8378661574
0.0096922325,-0.5915125120
0.0097313141,-0.8350269753
0.0097703957,-0.8265094290
0.0098094773,-0.6710096104
0.0098485589,-0.6696992186
0.0098876404,-0.8431077243
0.0099267220,-0.9394215165
0.0099658036,-0.9514334407
0.0100048852,-1.0195738107
0.0100439668,-0.6367210267
0.0100830484,-0.6074556114
0.0101221299,-0.9523070352
0.0101612115,-0.6253642984
0.0102002931,-0.6976542422
0.0102393747,-0.8289118139
0.0102784563,-1.1139220152
0.0103175379,-1.0767942495
0.0103566194,-1.1132668194
0.0103957010,-0.8035775737
0.0104347826,-0.8332797863
0.0104738642,-0.7723465708
0.0105129458,-0.8651659851
0.0105520274,-0.7236436782
0.0105911089,-0.9110296956
0.0106301905,-0.7066085857
0.0106692721,-0.9429158944
0.0107083537,-0.996860354
0.0107474353,-1.1276811284
0.0107865169,-0.7550930797
0.0108255984,-0.7885080688
0.0108646800,-1.1119564276
0.0109037616,-1.1656824886
0.0109428432,-1.0586671639
0.0109819248,-0.881982679
0.0110210064,-0.8872242459
0.0110600879,-0.9588589938
0.0110991695,-0.9394215165
0.0111382511,-0.8503148788
0.0111773327,-1.0302753431
0.0112164143,-0.9619165745
0.0112554958,-0.9147424722
0.0112945774,-1.0490576246
0.0113336590,-1.0715526826
0.0113727406,-1.2301100820
0.0114118222,-1.0462184425
0.0114509038,-1.0859669917
0.0114899853,-0.8880978404
0.0115290669,-1.2080518212
0.0115681485,-1.2685482394
0.0116072301,-0.9129952832
0.0116463117,-0.6911022836
0.0116853933,-1.1056228676
0.0117244748,-1.2257421096
0.0117635564,-1.1709240555
0.0118026380,-1.0813806206
0.0118417196,-0.9533990283
0.0118808012,-0.9446630834
0.0119198828,-1.1034388814
0.0119589643,-0.9651925538
0.0119980459,-0.9946763678
0.0120371275,-0.8319693946
0.0120762091,-0.980698856
0.0121152907,-0.9787332684
0.0121543723,-1.0221945941
0.0121934538,-0.9782964711
0.0122325354,-0.9623533718
0.0122716170,-0.8837298679
0.0123106986,-1.0217577969
0.0123497802,-0.9708709180
0.0123888617,-0.8675683699
0.0124279433,-0.9007649604
0.0124670249,-0.8885346376
0.0125061065,-0.9951131650
0.0125451881,-1.1469002071
0.0125842697,-0.8441997174
0.0126233512,-0.8636371947
0.0126624328,-0.8164630924
0.0127015144,-0.7660130108
0.012740596,-0.596754079
0.0127796776,-0.6480777551
0.0128187592,-0.6642392531
0.0128578407,-0.7118501526
0.0128969223,-0.6231803122
0.0129360039,-0.8140607076
0.0129750855,-0.8055431613
0.0130141671,-0.7970256151
0.0130532487,-0.7253908672
0.0130923302,-0.7380579872
0.0131314118,-0.7574954646
0.0131704934,-0.7981176082
0.013209575,-0.6847687235
0.0132486566,-0.5190041696
0.0132877382,-0.8710627479
0.0133268197,-0.9392031178
0.0133659013,-0.8431077243
0.0134049829,-0.5303608979
0.0134440645,-0.5921677079
0.0134831461,-0.8217046594
0.0135222277,-0.6279850819
0.0135613092,-0.6336634460
0.0136003908,-0.5941332955
0.0136394724,-0.8129687145
0.013678554,-0.6821479401
0.0137176356,-0.7122869499
0.0137567171,-0.6271114874
0.0137957987,-0.5803741823
0.0138348803,-0.4499902051
0.0138739619,-0.6832399332
0.0139130435,-0.6889182973
0.0139521251,-0.5897653231
0.0139912066,-0.5954436872
0.0140302882,-0.5943516941
0.0140693698,-0.5722934333
0.0141084514,-0.4314263223
0.014147533,-0.5773166016
0.0141866146,-0.6181571439
