x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005
1745248253.383,0.8,,,1753085513.141,0.61,1756908227.438,0.62,1756961693.57,0.63,1756982674.059,0.63
1745248268.773,0.81,,,1753085528.531,0.61,1756908255.078,0.63,1756961708.961,0.63,1756982689.449,0.64
1745248284.163,0.81,,,1753085543.921,0.6,1756908270.468,0.63,1756961724.351,0.63,1756982704.839,0.64
1745248299.553,0.81,,,1753085559.311,0.6,1756908285.858,0.63,1756961751.991,0.63,1756982732.479,0.66
1745248314.943,0.81,,,1753085574.701,0.6,1756908301.248,0.63,1756961767.381,0.63,1756982747.87,0.65
1745248330.333,0.81,,,1753085590.091,0.61,1756908316.638,0.65,1756961782.771,0.63,1756982763.259,0.64
1745248345.732,0.81,,,1753085605.49,0.61,1756908332.028,0.65,1756961798.161,0.64,1756982778.649,0.65
1745248361.123,0.8,,,1753085620.881,0.61,1756908347.418,0.65,1756961813.551,0.64,1756982794.039,0.65
1745248376.513,0.81,,,1753085636.271,0.61,1756908362.808,0.65,1756961828.941,0.63,1756982809.429,0.64
1745248391.903,0.81,,,1753085651.661,0.61,1756908378.198,0.65,1756961844.331,0.63,1756982824.819,0.65
1745248407.293,0.8,,,1753085667.051,0.61,1756908393.589,0.65,1756961859.721,0.63,1756982840.209,0.65
1745248422.683,0.81,,,1753085682.441,0.61,1756908408.978,0.63,1756961875.111,0.63,1756982855.599,0.65
1745248438.073,0.81,,,1753085697.841,0.61,1756908421.018,0.65,1756961890.501,0.63,1756982870.989,0.65
1745248465.713,0.81,,,1753085713.231,0.61,1756908436.408,0.66,1756961905.891,0.64,1756982886.379,0.65
1745248481.103,0.82,,,1753085728.621,0.61,1756908451.798,0.65,1756961917.93,0.63,1756982898.418,0.65
1745248496.493,0.82,,,1753085744.011,0.61,1756908467.188,0.65,1756961933.321,0.63,1756982913.809,0.65
1745248511.883,0.81,,,1753085759.401,0.61,1756908482.578,0.64,1756961948.711,0.63,1756982929.199,0.64
1745248527.273,0.81,,,1753085774.791,0.61,1756908497.968,0.65,1756961964.101,0.63,1756982944.589,0.66
1745248542.663,0.81,,,1753085790.181,0.61,1756908513.358,0.65,1756961979.491,0.65,1756982959.979,0.66
1745248558.053,0.81,,,1753085805.571,0.61,1756908528.748,0.62,1756961994.881,0.64,1756982975.369,0.65
1745248573.443,0.81,,,1753085820.961,0.61,1756908544.139,0.65,1756962010.271,0.64,1756982990.759,0.65
1745248588.833,0.81,,,1753085836.351,0.61,1756908559.528,0.65,1756962025.661,0.64,1756983006.149,0.65
1745248604.223,0.81,,,1753085851.741,0.61,1756908574.918,0.65,1756962041.051,0.64,1756983021.539,0.66
1745248619.613,0.81,,,1753085867.131,0.61,1756908590.308,0.65,1756962056.441,0.64,1756983036.929,0.66
1745248631.653,0.81,,,1753085894.771,0.61,1756908605.698,0.65,1756962071.84,0.64,1756983052.319,0.64
1745248647.043,0.81,,,1753085910.161,0.61,1756908621.088,0.65,1756962087.231,0.64,1756983067.709,0.65
1745248662.433,0.81,,,1753085925.551,0.61,1756908636.478,0.65,1756962102.621,0.63,1756983083.099,0.65
1745248677.823,0.82,,,1753085940.941,0.61,1756908651.868,0.64,1756962118.011,0.65,1756983098.489,0.64
1745248693.213,0.81,,,1753085956.331,0.61,1756908667.257,0.65,1756962133.401,0.64,1756983113.879,0.63
